"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
0, -3.000000000000000e+00, -2.500000000000000e+00, 2.849964614390745e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.915470726187835e+03, 2.366188290475133e+03, 2.892278960485644e+02, 0.000000000000000e+00, -6.513611175367436e-01, 1.794493684863143e-05, 0.000000000000000e+00, 0.000000000000000e+00, 7.118531903436807e-01, 0.000000000000000e+00
1, -2.937500000000000e+00, -2.500000000000000e+00, 2.892728786076316e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.032361605158307e+03, 2.412944642063323e+03, 2.905828549522011e+02, 0.000000000000000e+00, -6.360032870940080e-01, 1.801012135654024e-05, 0.000000000000000e+00, 0.000000000000000e+00, 7.482686449839017e-01, 0.000000000000000e+00
2, -2.875000000000000e+00, -2.500000000000000e+00, 2.933504719309268e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.149912145170085e+03, 2.459964858068033e+03, 2.921275101048759e+02, 0.000000000000000e+00, -6.205587863951219e-01, 1.808425332697749e-05, 0.000000000000000e+00, 0.000000000000000e+00, 7.909020170100065e-01, 0.000000000000000e+00
3, -2.812500000000000e+00, -2.500000000000000e+00, 2.972509963371829e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.268123720091558e+03, 2.507249488036623e+03, 2.938357119921313e+02, 0.000000000000000e+00, -6.050274349329490e-01, 1.816601428534883e-05, 0.000000000000000e+00, 0.000000000000000e+00, 8.219615745336767e-01, 0.000000000000000e+00
4, -2.750000000000000e+00, -2.500000000000000e+00, 3.010723125159990e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.387517213554220e+03, 2.555006885421687e+03, 2.956321091272088e+02, 0.000000000000000e+00, -5.893407958665372e-01, 1.825174896845610e-05, 0.000000000000000e+00, 0.000000000000000e+00, 8.424978787661652e-01, 0.000000000000000e+00
5, -2.687500000000000e+00, -2.500000000000000e+00, 3.049184165229703e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.508918149071283e+03, 2.603567259628513e+03, 2.974510395811045e+02, 0.000000000000000e+00, -5.733904069253136e-01, 1.833830224591651e-05, 0.000000000000000e+00, 0.000000000000000e+00, 8.562617772746760e-01, 0.000000000000000e+00
6, -2.625000000000000e+00, -2.500000000000000e+00, 3.088726516068779e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.633379452929911e+03, 2.653351781171964e+03, 2.992579671065511e+02, 0.000000000000000e+00, -5.570379282873059e-01, 1.842403032984434e-05, 0.000000000000000e+00, 0.000000000000000e+00, 8.667161139121873e-01, 0.000000000000000e+00
7, -2.562500000000000e+00, -2.500000000000000e+00, 3.129965406714780e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.762136023795731e+03, 2.704854409518292e+03, 3.010472757877618e+02, 0.000000000000000e+00, -5.401211114991898e-01, 1.850867478405029e-05, 0.000000000000000e+00, 0.000000000000000e+00, 8.761908211991510e-01, 0.000000000000000e+00
8, -2.500000000000000e+00, -2.500000000000000e+00, 3.173374903100210e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.896571607030527e+03, 2.758628642812210e+03, 3.028323060652267e+02, 0.000000000000000e+00, -5.224581517287205e-01, 1.859287296595980e-05, 0.000000000000000e+00, 0.000000000000000e+00, 8.860407101083300e-01, 0.000000000000000e+00
9, -2.437500000000000e+00, -2.500000000000000e+00, 3.219368486169992e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.038191574210554e+03, 2.815276629684221e+03, 3.046356546618740e+02, 0.000000000000000e+00, -5.038512641562005e-01, 1.867768960427946e-05, 0.000000000000000e+00, 0.000000000000000e+00, 8.970308094151436e-01, 0.000000000000000e+00
10, -2.375000000000000e+00, -2.500000000000000e+00, 3.268350125332186e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.188596927105694e+03, 2.875438770842277e+03, 3.064826505852803e+02, 0.000000000000000e+00, -4.840900994888797e-01, 1.876430503483896e-05, 0.000000000000000e+00, 0.000000000000000e+00, 9.096641611938756e-01, 0.000000000000000e+00
11, -2.312500000000000e+00, -2.500000000000000e+00, 3.320730739261428e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.349457280775916e+03, 2.939782912310366e+03, 3.083982778141288e+02, 0.000000000000000e+00, -4.629552936050964e-01, 1.885386931493732e-05, 0.000000000000000e+00, 0.000000000000000e+00, 9.243762446939514e-01, 0.000000000000000e+00
12, -2.250000000000000e+00, -2.500000000000000e+00, 3.376918416940692e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.522482987461961e+03, 3.008993194984784e+03, 3.104066252945418e+02, 0.000000000000000e+00, -4.402221300860673e-01, 1.894747609518042e-05, 0.000000000000000e+00, 0.000000000000000e+00, 9.416035651607858e-01, 0.000000000000000e+00
13, -2.187500000000000e+00, -2.500000000000000e+00, 3.437295240992368e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.709397816343149e+03, 3.083759126537259e+03, 3.125316151343455e+02, 0.000000000000000e+00, -4.156641297144955e-01, 1.904619589933848e-05, 0.000000000000000e+00, 0.000000000000000e+00, 9.617650042515929e-01, 0.000000000000000e+00
14, -2.125000000000000e+00, -2.500000000000000e+00, 3.502192668606712e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.911913670290710e+03, 3.164765468116284e+03, 3.147979111693249e+02, 0.000000000000000e+00, -3.890563723403884e-01, 1.915111675243468e-05, 0.000000000000000e+00, 0.000000000000000e+00, 9.852003111967254e-01, 0.000000000000000e+00
15, -2.062500000000000e+00, -2.500000000000000e+00, 3.571873961505632e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.131708089119975e+03, 3.252683235647989e+03, 3.172312707040427e+02, 0.000000000000000e+00, -3.601784526398089e-01, 1.926335791358839e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.012103888357679e+00, 0.000000000000000e+00
16, -2.000000000000000e+00, -2.500000000000000e+00, 3.646528023371726e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.370404186749851e+03, 3.348161674699939e+03, 3.198579951080619e+02, 0.000000000000000e+00, -3.288171160921704e-01, 1.938404146859951e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.042481090782029e+00, 0.000000000000000e+00
17, -1.937500000000000e+00, -2.500000000000000e+00, 3.726275271307444e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.629551597949998e+03, 3.451820639179999e+03, 3.227034675500701e+02, 0.000000000000000e+00, -2.947687623117945e-01, 1.951422241448071e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.076141610726105e+00, 0.000000000000000e+00
18, -1.875000000000000e+00, -2.500000000000000e+00, 3.811183322619953e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.910606308496142e+03, 3.564242523398456e+03, 3.257900026449722e+02, 0.000000000000000e+00, -2.578420950840618e-01, 1.965478898960153e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.112730713838948e+00, 0.000000000000000e+00
19, -1.812500000000000e+00, -2.500000000000000e+00, 3.901288550805404e-02, 0.000000000000000e+00, 0.000000000000000e+00, 9.214907098731872e+03, 3.685962839492748e+03, 3.291343613304415e+02, 0.000000000000000e+00, -2.178612173526924e-01, 1.980635084665671e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.151785007541529e+00, 0.000000000000000e+00
20, -1.750000000000000e+00, -2.500000000000000e+00, 3.996619116000391e-02, 0.000000000000000e+00, 0.000000000000000e+00, 9.543646706527041e+03, 3.817458682610816e+03, 3.327452995866295e+02, 0.000000000000000e+00, -1.746694200046292e-01, 1.996913302709042e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.192788584074366e+00, 0.000000000000000e+00
21, -1.687500000000000e+00, -2.500000000000000e+00, 4.097215897252935e-02, 0.000000000000000e+00, 0.000000000000000e+00, 9.897836471468656e+03, 3.959134588587461e+03, 3.366214309357784e+02, 0.000000000000000e+00, -1.281338271300154e-01, 2.014288909673013e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.235203907683993e+00, 0.000000000000000e+00
22, -1.625000000000000e+00, -2.500000000000000e+00, 4.203149377589149e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.027826386247573e+04, 4.111305544990290e+03, 3.407495370159079e+02, 0.000000000000000e+00, -7.815097630095487e-02, 2.032683954334323e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.278464763401300e+00, 0.000000000000000e+00
23, -1.562500000000000e+00, -2.500000000000000e+00, 4.314531870110994e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.068544277464271e+04, 4.274177109857082e+03, 3.451033523818816e+02, 0.000000000000000e+00, -2.465334887274789e-02, 2.051963601695289e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.321944011060598e+00, 0.000000000000000e+00
24, -1.500000000000000e+00, -2.500000000000000e+00, 4.431524176715473e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.111955698770338e+04, 4.447822795081351e+03, 3.496428878323570e+02, 0.000000000000000e+00, 3.238320124722807e-02, 2.071935302687427e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.364933878696998e+00, 0.000000000000000e+00
25, -1.437500000000000e+00, -2.500000000000000e+00, 4.554333216578341e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.158039823866587e+04, 4.632159295466347e+03, 3.543145839983412e+02, 0.000000000000000e+00, 9.293131120786870e-02, 2.092351787944875e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.406680846038740e+00, 0.000000000000000e+00
26, -1.375000000000000e+00, -2.500000000000000e+00, 4.683193577212266e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.206730269183618e+04, 4.826921076734471e+03, 3.590528958024633e+02, 0.000000000000000e+00, 1.569037622619107e-01, 2.112920182811501e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.446487383627691e+00, 0.000000000000000e+00
27, -1.312500000000000e+00, -2.500000000000000e+00, 4.818324607779402e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.257909368604384e+04, 5.031637474417534e+03, 3.637840331060030e+02, 0.000000000000000e+00, 2.241459575502680e-01, 2.133319913724193e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.483841026863581e+00, 0.000000000000000e+00
28, -1.250000000000000e+00, -2.500000000000000e+00, 4.959859179619346e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.311404408998813e+04, 5.245617635995251e+03, 3.684322428737980e+02, 0.000000000000000e+00, 2.944309761198068e-01, 2.153230493764460e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.518500597951749e+00, 0.000000000000000e+00
29, -1.187500000000000e+00, -2.500000000000000e+00, 5.107751127353161e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.366987630427496e+04, 5.467950521709983e+03, 3.729281725852520e+02, 0.000000000000000e+00, 3.674595731909585e-01, 2.172366728227312e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.550506131581833e+00, 0.000000000000000e+00
30, -1.125000000000000e+00, -2.500000000000000e+00, 5.261680865573379e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.424381800333879e+04, 5.697527201335513e+03, 3.772178618861826e+02, 0.000000000000000e+00, 4.428675038684617e-01, 2.190514998483740e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.580176945077842e+00, 0.000000000000000e+00
31, -1.062500000000000e+00, -2.500000000000000e+00, 5.420984808168143e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.483272302451830e+04, 5.933089209807319e+03, 3.812703503767676e+02, 0.000000000000000e+00, 5.202414062790616e-01, 2.207562429302320e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.608231846816435e+00, 0.000000000000000e+00
32, -1.000000000000000e+00, -2.500000000000000e+00, 5.584629381516389e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.543324847849109e+04, 6.173299391396434e+03, 3.850820970777377e+02, 0.000000000000000e+00, 5.991420714112881e-01, 2.223512056347882e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.636091867188058e+00, 0.000000000000000e+00
33, -9.375000000000000e-01, -2.500000000000000e+00, 5.751238134380515e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.604205606086645e+04, 6.416822424346579e+03, 3.886771558102568e+02, 0.000000000000000e+00, 6.791308926497226e-01, 2.238480399607671e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.666197288519599e+00, 0.000000000000000e+00
34, -8.750000000000000e-01, -2.500000000000000e+00, 5.919169278047956e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.665598725692706e+04, 6.662394902770820e+03, 3.921028114714775e+02, 0.000000000000000e+00, 7.597928852333042e-01, 2.252676880383239e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.701951332733075e+00, 0.000000000000000e+00
35, -8.125000000000000e-01, -2.500000000000000e+00, 6.086635582090465e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.727215846149827e+04, 6.908863384599307e+03, 3.954209269318845e+02, 0.000000000000000e+00, 8.407491836788941e-01, 2.266366514957440e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.746936039671426e+00, 0.000000000000000e+00
36, -7.500000000000000e-01, -2.500000000000000e+00, 6.251854439841056e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.788793865547107e+04, 7.155175462188427e+03, 3.986959054758606e+02, 0.000000000000000e+00, 9.216541087878752e-01, 2.279819807342427e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.803425403996535e+00, 0.000000000000000e+00
37, -6.875000000000000e-01, -2.500000000000000e+00, 6.413205480739191e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.850080789379611e+04, 7.400323157518442e+03, 4.019813229805452e+02, 0.000000000000000e+00, 1.002176574943186e+00, 2.293258359961944e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.870728404655908e+00, 0.000000000000000e+00
38, -6.250000000000000e-01, -2.500000000000000e+00, 6.569358470239237e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.910813888206701e+04, 7.643255552826803e+03, 4.053085498487659e+02, 0.000000000000000e+00, 1.081971392320167e+00, 2.306809755943078e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.944123243065265e+00, 0.000000000000000e+00
39, -5.625000000000000e-01, -2.500000000000000e+00, 6.719331651868254e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.970697704591191e+04, 7.882790818364761e+03, 4.086808329831542e+02, 0.000000000000000e+00, 1.160650371073438e+00, 2.320485587038806e-05, 0.000000000000000e+00, 0.000000000000000e+00, 2.014888566411431e+00, 0.000000000000000e+00
40, -5.000000000000000e-01, -2.500000000000000e+00, 6.862464476809442e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.029389810052178e+04, 8.117559240208710e+03, 4.120744642306024e+02, 0.000000000000000e+00, 1.237763607960355e+00, 2.334188623176063e-05, 0.000000000000000e+00, 0.000000000000000e+00, 2.071443098019364e+00, 0.000000000000000e+00
